name,description,category,tags,popularity_score,repo,path,reason
langfuse,Langfuse observability platform for LLM application monitoring,mlops,Platform;Tool,0.84,sickn33/antigravity-awesome-skills,skills/langfuse,LLM可观测性与追踪
php-modernization,PHP 8.x modernization: upgrade legacy code to modern PHP,software-development,Utility;Framework,0.65,netresearch/php-modernization-skill,SKILL.md,PHP 8.x现代化升级
drawio-skill,Draw.io diagram generation for architecture and flow charts,creative,Tool,0.72,Agents365-ai/drawio-skill,SKILL.md,Draw.io图表生成
asta-skill,Smart contract audit report generation with automated analysis,red-teaming,Tool,0.6,Agents365-ai/asta-skill,SKILL.md,智能合约审计报告生成
security-review,GitHub security review automation with vulnerability scanning,red-teaming,Tool;Utility,0.85,github/awesome-copilot,skills/security-review,GitHub安全审查，漏洞扫描
claude-jobs,Tech company job search and position matching assistant,productivity,Tool;Utility,0.7,jshchnz/claude-jobs,SKILL.md,科技公司职位搜索
using-superpowers,Superpowers framework usage guide for agent development,productivity,Framework;Utility,0.72,obra/superpowers,skills/using-superpowers,Superpowers框架使用指南，964 stars
requesting-code-review,Automated code review request workflow and best practices,software-development,Utility;Tool,0.78,obra/superpowers,skills/requesting-code-review,自动化代码审查流程
receiving-code-review,Best practices for receiving and acting on code review feedback,software-development,Utility,0.72,obra/superpowers,skills/receiving-code-review,接收代码审查反馈最佳实践
writing-plans,Structured development plan writing for project execution,productivity,Utility,0.8,obra/superpowers,skills/writing-plans,开发计划编写
executing-plans,Systematic development plan execution and tracking,productivity,Utility,0.8,obra/superpowers,skills/executing-plans,开发计划执行
brainstorming,Structured brainstorming techniques for creative problem solving,creative,Utility,0.74,obra/superpowers,skills/brainstorming,结构化头脑风暴
subagent-driven-development,Sub-agent driven development pattern for complex software,software-development,Agent;Framework,0.82,obra/superpowers,skills/subagent-driven-development,子代理驱动开发模式
using-git-worktrees,Git worktree isolation for parallel development branches,software-development,Utility;Tool,0.7,obra/superpowers,skills/using-git-worktrees,Git Worktree隔离开发
finishing-a-development-branch,"Branch completion, merge, and cleanup best practices",software-development,Utility;Tool,0.72,obra/superpowers,skills/finishing-a-development-branch,开发分支完成与合并
narrator-ai-cli-skill,AI narrator for video voiceover and commentary generation,creative,Tool;Utility,0.68,NarratorAI-Studio/narrator-ai-cli-skill,SKILL.md,AI解说大师，视频配音
adb-skill,Android Debug Bridge automation for device testing,software-development,Tool,0.65,NickLascelles/skills,skills/adb-skill,Android调试桥自动化
clipboard-skill,Clipboard operations automation for copy-paste workflows,productivity,Tool;Utility,0.62,NickLascelles/skills,skills/clipboard-skill,剪贴板操作自动化
a11y-audit,WCAG 2.2 accessibility audit for web application compliance,software-development,Tool;Utility,0.7,alirezarezvani/claude-skills,skills/a11y-audit,WCAG 2.2无障碍审计
docker-development,Docker development best practices and container optimization,devops,Platform;Tool,0.8,alirezarezvani/claude-skills,skills/docker-development,Docker开发最佳实践
helm-chart-builder,Helm chart construction for Kubernetes application deployment,devops,Tool,0.74,alirezarezvani/claude-skills,skills/helm-chart-builder,Helm Chart构建
terraform-patterns,Terraform infrastructure-as-code module design patterns,devops,Framework;Tool,0.78,alirezarezvani/claude-skills,skills/terraform-patterns,Terraform IaC模块设计
executive-mentor,Adversarial thinking partner for strategic decision making,productivity,Utility;Agent,0.72,alirezarezvani/claude-skills,skills/executive-mentor,对抗性思维伙伴
research-summarizer,Structured research synthesis and multi-source summarization,research,Utility,0.76,alirezarezvani/claude-skills,skills/research-summarizer,结构化研究综合
seo-auditor,7-stage SEO audit pipeline for website optimization,social-media,Tool,0.7,alirezarezvani/claude-skills,skills/seo-auditor,7阶段SEO审计管道
epic-design,Epic-scale design system architecture for large applications,creative,Utility,0.68,alirezarezvani/claude-skills,skills/epic-design,史诗级设计系统
accelint-ts-best-practices,TypeScript best practices and type-safe coding patterns,software-development,Framework;Utility,0.76,gohypergiant/agent-skills,skills/accelint-ts-best-practices,TypeScript最佳实践
accelint-skill-manager,Skill lifecycle management and audit automation,software-development,Tool;Utility,0.68,gohypergiant/agent-skills,skills/accelint-skill-manager,Skill管理与审计
skill-judge,Skill quality assessment and code review evaluation,software-development,Tool;Utility,0.7,gohypergiant/agent-skills,skills/skill-judge,Skill质量评判
